id,order_date,country,amount
1,2024-01-15,US,120.00
2,2024-01-22,US,85.50
3,2024-02-03,UK,200.00
4,2024-02-14,UK,150.00
5,2024-03-01,US,95.00
6,2024-03-18,UK,310.00
7,2024-04-05,US,175.00
8,2024-04-12,Germany,185.00
9,2024-04-20,UK,60.00
10,2024-05-10,US,220.00
11,2024-05-18,Germany,140.00
12,2024-05-25,UK,140.00
13,2024-06-08,US,88.00
14,2024-06-15,UK,195.00
15,2024-06-22,Germany,210.00
16,2024-07-01,US,300.00
17,2024-07-19,UK,110.00
18,2024-07-28,Germany,165.00
19,2024-08-02,US,165.00
20,2024-08-14,UK,245.00
21,2024-08-25,Germany,120.00
22,2024-09-05,US,130.00
23,2024-09-15,Germany,195.00
24,2024-09-22,UK,180.00
25,2024-10-10,US,210.00
26,2024-10-20,Germany,230.00
27,2024-10-28,UK,155.00
28,2024-11-05,US,275.00
29,2024-11-12,Germany,150.00
30,2024-11-18,UK,90.00
31,2024-12-01,US,320.00
32,2024-12-10,Germany,175.00
33,2024-12-20,UK,185.00
34,2025-01-10,US,140.00
35,2025-01-18,UK,225.00
36,2025-01-25,India,95.00
37,2025-02-05,US,110.00
38,2025-02-12,India,180.00
39,2025-02-20,UK,160.00
40,2025-03-01,US,200.00
41,2025-03-10,India,250.00
42,2025-03-15,UK,135.00
43,2025-03-22,India,175.00
44,2025-04-02,US,190.00
45,2025-04-10,India,300.00
46,2025-04-18,UK,145.00
47,2025-05-01,US,260.00
48,2025-05-12,India,210.00
49,2025-05-20,UK,170.00
50,2025-06-03,US,155.00
51,2025-06-15,India,280.00
52,2025-06-22,UK,120.00
53,2025-07-05,US,315.00
54,2025-07-14,India,195.00
55,2025-07-25,UK,230.00
56,2025-08-08,US,175.00
57,2025-08-18,India,140.00
58,2025-08-28,UK,205.00
59,2025-09-05,US,160.00
60,2025-09-15,India,270.00
61,2025-09-25,UK,185.00
62,2025-10-03,US,240.00
63,2025-10-15,India,310.00
64,2025-10-22,UK,130.00
65,2025-11-01,US,290.00
66,2025-11-12,India,165.00
67,2025-11-20,UK,200.00
68,2025-12-05,US,350.00
69,2025-12-15,India,225.00
70,2025-12-22,UK,175.00
